surah,model,merged
1,sonnet,true
2,sonnet,true
3,sonnet,true
4,sonnet,true
5,sonnet,true
6,sonnet,true
7,sonnet,true
8,sonnet,true
9,sonnet,true
10,sonnet,true
11,sonnet,true
12,sonnet,true
13,sonnet,true
14,sonnet,true
15,sonnet,true
16,sonnet,true
17,sonnet,true
18,sonnet,true
19,sonnet,true
20,sonnet,true
21,sonnet,true
22,sonnet,true
23,sonnet,true
24,sonnet,true
25,sonnet,true
26,sonnet,true
27,sonnet,true
28,sonnet,true
29,sonnet,true
30,sonnet,true
31,,
32,,
33,,
34,,
35,,
36,,
37,,
38,,
39,,
40,,
41,,
42,,
43,,
44,,
45,,
46,,
47,,
48,,
49,,
50,,
51,,
52,,
53,,
54,,
55,,
56,,
57,,
58,,
59,,
60,,
61,,
62,,
63,,
64,,
65,,
66,,
67,,
68,,
69,,
70,,
71,,
72,,
73,,
74,,
75,,
76,,
77,,
78,,
79,,
80,,
81,,
82,,
83,,
84,,
85,,
86,,
87,,
88,,
89,,
90,,
91,,
92,,
93,,
94,,
95,,
96,,
97,,
98,,
99,,
100,,
101,,
102,,
103,,
104,,
105,,
106,,
107,,
108,,
109,,
110,,
111,,
112,,
113,,
114,,
