surah,model,merged
1,sonnet,true
2,sonnet,true
3,sonnet,true
4,sonnet,true
5,sonnet,true
6,sonnet,true
7,sonnet,true
8,sonnet,true
9,sonnet,true
10,sonnet,true
11,sonnet,true
12,sonnet,true
13,sonnet,true
14,sonnet,true
15,sonnet,true
16,sonnet,true
17,sonnet,true
18,sonnet,true
19,sonnet,true
20,sonnet,true
21,sonnet,true
22,sonnet,true
23,sonnet,true
24,sonnet,true
25,sonnet,true
26,sonnet,true
27,sonnet,true
28,sonnet,true
29,sonnet,true
30,sonnet,true
31,sonnet,true
32,sonnet,true
33,sonnet,true
34,sonnet,true
35,sonnet,true
36,sonnet,true
37,sonnet,true
38,sonnet,true
39,sonnet,true
40,sonnet,true
41,sonnet,true
42,sonnet,true
43,sonnet,true
44,sonnet,true
45,sonnet,true
46,sonnet,true
47,sonnet,true
48,sonnet,true
49,sonnet,true
50,sonnet,true
51,sonnet,true
52,sonnet,true
53,sonnet,true
54,sonnet,true
55,sonnet,true
56,sonnet,true
57,sonnet,true
58,sonnet,true
59,sonnet,true
60,sonnet,true
61,sonnet,true
62,sonnet,true
63,sonnet,true
64,sonnet,true
65,sonnet,true
66,sonnet,true
67,sonnet,true
68,sonnet,true
69,sonnet,true
70,sonnet,true
71,sonnet,true
72,sonnet,true
73,sonnet,true
74,sonnet,true
75,sonnet,true
76,sonnet,true
77,sonnet,true
78,sonnet,true
79,sonnet,true
80,sonnet,true
81,sonnet,true
82,sonnet,true
83,sonnet,true
84,sonnet,true
85,sonnet,true
86,sonnet,true
87,sonnet,true
88,sonnet,true
89,sonnet,true
90,sonnet,true
91,sonnet,true
92,sonnet,true
93,haiku,false
94,sonnet,true
95,sonnet,true
96,sonnet,true
97,sonnet,true
98,sonnet,true
99,sonnet,true
100,sonnet,true
101,sonnet,true
102,sonnet,true
103,sonnet,true
104,sonnet,true
105,sonnet,true
106,sonnet,true
107,sonnet,true
108,sonnet,true
109,sonnet,true
110,sonnet,true
111,sonnet,true
112,sonnet,true
113,sonnet,true
114,sonnet,true
